ipxe-qemu	1.21.1+git-20250829.969ce2c55+dfsg-3ubuntu2
ipxe-qemu-256k-compat-efi-roms	1.0.0+git-20150424.a25a16d-0ubuntu7
isc-dhcp-common	4.4.3-P1-4ubuntu2
isc-dhcp-server	4.4.3-P1-4ubuntu2
iso-codes	4.20.1-1
iucode-tool	2.3.1-3build2
java-common	0.77
javascript-common	12+nmu1
jq	1.8.1-4ubuntu2
kbd	2.7.1-2ubuntu2
kdump-tools	1:1.10.7ubuntu3
kexec-tools	1:2.0.32-3ubuntu1
keyboard-configuration	1.237ubuntu3
keyutils	1.6.3-6ubuntu3
klibc-utils	2.0.14-1ubuntu2
kmod	34.2-2ubuntu2
kpartx	0.14.3-2ubuntu1
krb5-config	2.7ubuntu1
krb5-locales	1.22.1-2ubuntu4.1
krb5-user	1.22.1-2ubuntu4.1
ldap-utils	2.6.10+dfsg-1ubuntu5
ldb-tools	2:2.11.0+samba4.23.6+dfsg-1ubuntu2.2
less	668-1build1
libaa1:amd64	1.4p5-51.1build1
libabsl20240722:amd64	20240722.0-4ubuntu1
libacl1:amd64	2.3.2-2
libada-url0-3:amd64	3.4.3-1
libaio1t64:amd64	0.3.113-8build1
libalgorithm-diff-perl	1.201-1
libalgorithm-diff-xs-perl	0.04-9
libalgorithm-merge-perl	0.08-5
libaom3:amd64	3.13.1-2
libapache2-mod-php	2:8.5+99ubuntu1
libapache2-mod-php8.4	8.4.11-1ubuntu1.2
libapache2-mod-php8.5	8.5.4-0ubuntu1.2
libapparmor1:amd64	5.0.2-0ubuntu1~26.04.1
libappstream5:amd64	1.1.2-1
libapr1t64:amd64	1.7.6-3
libaprutil1-dbd-sqlite3:amd64	1.6.3-3ubuntu3
libaprutil1-ldap:amd64	1.6.3-3ubuntu3
libaprutil1t64:amd64	1.6.3-3ubuntu3
libapt-pkg7.0:amd64	3.2.0
libarchive13t64:amd64	3.8.5-1ubuntu2.2
libargon2-1:amd64	0~20190702+dfsg-5
libasan8:amd64	16-20260322-1ubuntu1
libasound2-data	1.2.15.3-1ubuntu1.1
libasound2t64:amd64	1.2.15.3-1ubuntu1.1
libassuan9:amd64	3.0.2-2build1
libasyncns0:amd64	0.8-7
libatasmart4:amd64	0.19-6
libatk-bridge2.0-0t64:amd64	2.60.4-0ubuntu0.1
libatk-wrapper-java	0.44.0-1
libatk-wrapper-java-jni:amd64	0.44.0-1
libatk1.0-0t64:amd64	2.60.4-0ubuntu0.1
libatomic1:amd64	16-20260322-1ubuntu1
libatspi2.0-0t64:amd64	2.60.4-0ubuntu0.1
libattr1:amd64	1:2.5.2-4
libaudit-common	1:4.1.2-1build1
libaudit1:amd64	1:4.1.2-1build1
libavahi-client3:amd64	0.8-18ubuntu1.1
libavahi-common-data:amd64	0.8-18ubuntu1.1
libavahi-common3:amd64	0.8-18ubuntu1.1
libavc1394-0:amd64	0.5.4-5build4
libb2-1:amd64	0.98.1-1.1build2
libbinutils:amd64	2.46-3ubuntu2
libblkid1:amd64	2.41.3-3ubuntu2
libblockdev-crypto3:amd64	3.4.0-1
libblockdev-fs3:amd64	3.4.0-1
libblockdev-loop3:amd64	3.4.0-1
libblockdev-mdraid3:amd64	3.4.0-1
libblockdev-nvme3:amd64	3.4.0-1
libblockdev-part3:amd64	3.4.0-1
libblockdev-smart3:amd64	3.4.0-1
libblockdev-swap3:amd64	3.4.0-1
libblockdev-utils3:amd64	3.4.0-1
libblockdev3:amd64	3.4.0-1
libbluetooth3:amd64	5.85-4ubuntu0.1
libboost-iostreams1.88.0:amd64	1.88.0-1.4ubuntu4
libboost-iostreams1.90.0:amd64	1.90.0-6ubuntu1
libboost-locale1.88.0:amd64	1.88.0-1.4ubuntu4
libboost-locale1.90.0:amd64	1.90.0-6ubuntu1
libboost-python1.88.0	1.88.0-1.4ubuntu4
libboost-python1.90.0	1.90.0-6ubuntu1
libboost-thread1.88.0:amd64	1.88.0-1.4ubuntu4
libboost-thread1.90.0:amd64	1.90.0-6ubuntu1
libbpf1:amd64	1:1.6.3-1ubuntu1
libbpfcc:amd64	0.35.0+ds-1ubuntu2
libbrlapi0.8:amd64	6.7-1ubuntu6
libbrotli1:amd64	1.2.0-3build1
libbsd0:amd64	0.12.2-2build2
libburn4t64:amd64	1.5.6-1.2build1
libbytesize-common	2.12-1
libbytesize1:amd64	2.12-1
libbz2-1.0:amd64	1.0.8-6build2
libc-bin	2.43-2ubuntu2.3
libc-dev-bin	2.43-2ubuntu2.3
libc-gconv-modules-extra:amd64	2.43-2ubuntu2.3
libc6:amd64	2.43-2ubuntu2.3
libc6-dev:amd64	2.43-2ubuntu2.3
libcaca0:amd64	0.99.beta20-6ubuntu2.1
libcacard0:amd64	1:2.8.1-2
libcairo-gobject2:amd64	1.18.4-3
libcairo2:amd64	1.18.4-3
libcap-ng0:amd64	0.8.5-4build5
libcap2:amd64	1:2.75-10ubuntu2
libcap2-bin	1:2.75-10ubuntu2
libcares2:amd64	1.34.6-1
libcbor0.10:amd64	0.10.2-2ubuntu3
libcc1-0:amd64	16-20260322-1ubuntu1
libcdparanoia0:amd64	3.10.2+debian-14ubuntu2
libcephfs2	20.2.0-0ubuntu2
libclamav12:amd64	1.5.3+dfsg-0ubuntu0.26.04.1
libclang-cpp20	1:20.1.8-2ubuntu8
libclang-cpp21	1:21.1.8-6ubuntu1
libclang1-20	1:20.1.8-2ubuntu8
libclang1-21	1:21.1.8-6ubuntu1
libcolord2:amd64	1.4.8-3
libcom-err2:amd64	1.47.2-3ubuntu4
libcommon-sense-perl:amd64	3.75-3build5
libcrack2:amd64	2.9.6-5.2build3
libcrypt-dev:amd64	1:4.5.1-1
libcrypt1:amd64	1:4.5.1-1
libcryptsetup12:amd64	2:2.8.4-1ubuntu4
libctf-nobfd0:amd64	2.46-3ubuntu2
libctf0:amd64	2.46-3ubuntu2
libcups2t64:amd64	2.4.16-1ubuntu1.3
libcurl3t64-gnutls:amd64	8.18.0-1ubuntu2.3
libcurl4t64:amd64	8.18.0-1ubuntu2.3
libdatrie1:amd64	0.2.14-1
libdaxctl1:amd64	81-1ubuntu1
libdb5.3t64:amd64	5.3.28+dfsg2-10ubuntu1
libdbus-1-3:amd64	1.16.2-2ubuntu4
